name,id,recclass,mass,fall,year,reclat,reclong
Aachen,1,L5,21,Fell,01-01-1880 12:00:00 AM,50.775000,6.083330
Aarhus,2,H6,720,Fell,01-01-1951 12:00:00 AM,56.183330,10.233330
Abee,6,EH4,107000,Fell,01-01-1952 12:00:00 AM,54.216670,-113.000000
Acapulco,10,Acapulcoite,1914,Fell,01-01-1976 12:00:00 AM,16.883330,-99.900000
Achiras,370,L6,780,Fell,01-01-1902 12:00:00 AM,-33.166670,-64.950000
Adhi Kot,379,EH4,4239,Fell,01-01-1919 12:00:00 AM,32.100000,71.800000
Adzhi-Bogdo stone,390,LL3-6,910,Fell,01-01-1949 12:00:00 AM,44.833330,95.166670
Agen,392,H5,30000,Fell,01-01-1814 12:00:00 AM,44.216670,0.616670
Aguada,398,L6,1620,Fell,01-01-1930 12:00:00 AM,-31.600000,-65.233330
Alby sur Chran,458,Eucrite-mmict,252,Fell,01-01-2002 12:00:00 AM,45.821330,6.015330
Aldsworth,461,LL5,700,Fell,01-01-1835 12:00:00 AM,51.783330,-1.783330
Aleppo,462,L6,3200,Fell,01-01-1873 12:00:00 AM,36.233330,37.133330
Alessandria,463,H5,908,Fell,01-01-1860 12:00:00 AM,44.883330,8.750000
Alexandrovsky,465,H4,9251,Fell,01-01-1900 12:00:00 AM,50.950000,31.816670
Alfianello,466,L6,228000,Fell,01-01-1883 12:00:00 AM,45.266670,10.150000
Allegan,2276,H5,32000,Fell,01-01-1899 12:00:00 AM,42.533330,-85.883330
Allende,2278,CV3,2000000,Fell,01-01-1969 12:00:00 AM,26.966670,-105.316670
Almahata Sitta,48915,Ureilite-an,3950,Fell,01-01-2008 12:00:00 AM,20.745750,32.412750
Altaameem,2284,LL5,6000,Fell,01-01-1977 12:00:00 AM,35.273330,44.215560
Ambapur Nagla,2290,H5,6400,Fell,01-01-1895 12:00:00 AM,27.666670,78.250000
Andhara,2294,Stone-uncl,2700,Fell,01-01-1880 12:00:00 AM,26.583330,85.566670
Andover,2295,L6,3200,Fell,01-01-1898 12:00:00 AM,44.616670,-70.750000
Andreevka,2296,L3,600,Fell,01-01-1969 12:00:00 AM,48.700000,37.500000
Andura,2298,H6,17900,Fell,01-01-1939 12:00:00 AM,20.883330,76.866670
Angra dos Reis stone,2302,Angrite,1500,Fell,01-01-1869 12:00:00 AM,-22.966670,-44.316670
Ankober,2304,H4,6500,Fell,01-01-1942 12:00:00 AM,9.533330,39.716670
Anlong,2305,H5,2500,Fell,01-01-1971 12:00:00 AM,25.150000,105.183330
Aomori,2313,L6,320,Fell,01-01-1984 12:00:00 AM,40.810560,140.785560
Appley Bridge,2318,LL6,15000,Fell,01-01-1914 12:00:00 AM,53.583330,-2.716670
Apt,2320,L6,3200,Fell,01-01-1803 12:00:00 AM,43.866670,5.383330
Arbol Solo,2325,H5,810,Fell,01-01-1954 12:00:00 AM,-33.000000,-66.000000
Archie,2329,H6,5070,Fell,01-01-1932 12:00:00 AM,38.500000,-94.300000
Arroyo Aguiar,2340,H5,7450,Fell,01-01-1950 12:00:00 AM,-31.416670,-60.666670
Asco,2345,H6,41,Fell,01-01-1805 12:00:00 AM,42.450000,9.033330
Ash Creek,48954,L6,9500,Fell,01-01-2009 12:00:00 AM,31.805000,-97.010000
Ashdon,2346,L6,1300,Fell,01-01-1923 12:00:00 AM,52.050000,0.300000
Assisi,2353,H5,2000,Fell,01-01-1886 12:00:00 AM,43.033330,12.550000
Atarra,4883,L4,1280,Fell,01-01-1920 12:00:00 AM,25.254170,80.625000
Athens,4885,LL6,265,Fell,01-01-1933 12:00:00 AM,34.750000,-87.000000
Aubres,4893,Aubrite,800,Fell,01-01-1836 12:00:00 AM,44.383330,5.166670
Aumale,4899,L6,50000,Fell,01-01-1865 12:00:00 AM,36.166670,3.666670
Aumieres,4900,L6,2000,Fell,01-01-1842 12:00:00 AM,44.333330,3.233330
Ausson,4903,L5,50000,Fell,01-01-1858 12:00:00 AM,43.083330,0.583330
Avanhandava,4905,H4,9330,Fell,01-01-1952 12:00:00 AM,-21.460280,-49.950830
Avce,4906,"Iron, IIAB",1230,Fell,01-01-1908 12:00:00 AM,46.000000,13.500000
Avilez,4907,H,146,Fell,01-01-1855 12:00:00 AM,25.000000,-103.500000
Awere,4910,L4,134,Fell,01-01-1968 12:00:00 AM,2.716670,32.833330
Aztec,4913,L6,2830,Fell,01-01-1938 12:00:00 AM,36.800000,-108.000000
Bachmut,4917,L6,18000,Fell,01-01-1814 12:00:00 AM,48.600000,38.000000
Bahjoi,4922,"Iron, IAB-sLL",10322,Fell,01-01-1934 12:00:00 AM,28.483330,78.500000
Bald Mountain,4925,L4,3700,Fell,01-01-1929 12:00:00 AM,35.966670,-82.483330
Baldwyn,4926,L6,345,Fell,01-01-1922 12:00:00 AM,34.500000,-88.666670
Bali,4928,CV3,1000,Fell,01-01-1907 12:00:00 AM,5.383330,16.383330
Ban Rong Du,4934,"Iron, ungrouped",16700,Fell,01-01-1993 12:00:00 AM,16.666670,101.183330
Bandong,4935,LL6,11500,Fell,01-01-1871 12:00:00 AM,-6.916670,107.600000
Bansur,4936,L6,15000,Fell,01-01-1892 12:00:00 AM,27.700000,76.333330
Banswal,4937,L5,14,Fell,01-01-1913 12:00:00 AM,30.400000,78.200000
Banten,4938,CM2,629,Fell,01-01-1933 12:00:00 AM,-6.333330,106.000000
Barbotan,4942,H5,6400,Fell,01-01-1790 12:00:00 AM,43.950000,-0.050000
Barea,4946,Mesosiderite-A1,3200,Fell,01-01-1842 12:00:00 AM,42.383330,-2.500000
Barntrup,4948,LL4,17,Fell,01-01-1886 12:00:00 AM,52.000000,9.100000
Baroti,4949,L6,4500,Fell,01-01-1910 12:00:00 AM,31.616670,76.800000
Barwell,4954,L5,44000,Fell,01-01-1965 12:00:00 AM,52.565280,-1.339720
Bassikounou,44876,H5,29560,Fell,01-01-2006 12:00:00 AM,15.783330,-5.900000
Baszkwka,4957,L5,15500,Fell,01-01-1994 12:00:00 AM,52.033330,20.935830
Bath,4974,H4,21000,Fell,01-01-1892 12:00:00 AM,45.416670,-98.316670
Bath Furnace,4975,L6,86000,Fell,01-01-1902 12:00:00 AM,38.250000,-83.750000
Battle Mountain,56133,L6,2900,Fell,01-01-2012 12:00:00 AM,40.668130,-117.189130
Bawku,4976,LL5,1557,Fell,01-01-1989 12:00:00 AM,11.083330,-0.183330
Baxter,4977,L6,611,Fell,01-01-1916 12:00:00 AM,36.750000,-93.500000
Beardsley,4984,H5,16000,Fell,01-01-1929 12:00:00 AM,39.800000,-101.200000
Beaver Creek,4986,H5,14000,Fell,01-01-1893 12:00:00 AM,51.166670,-117.333330
Beddgelert,4993,H5,794,Fell,01-01-1949 12:00:00 AM,53.016670,-4.100000
Bells,5005,C2-ung,375,Fell,01-01-1961 12:00:00 AM,33.600000,-96.466670
Benares a,5011,LL4,3700,Fell,01-01-1798 12:00:00 AM,25.366670,82.916670
Benguerir,30443,LL6,25000,Fell,01-01-2004 12:00:00 AM,32.250000,-8.150000
Beni Mhira,5018,L6,19000,Fell,01-01-2001 12:00:00 AM,32.866670,10.800000
Benoni,5023,H6,3880,Fell,01-01-1943 12:00:00 AM,-26.166670,28.416670
Bensour,5024,LL6,45000,Fell,01-01-2002 12:00:00 AM,30.000000,-7.000000
Benton,5026,LL6,2840,Fell,01-01-1949 12:00:00 AM,45.950000,-67.550000
Berduc,48975,L6,270,Fell,01-01-2008 12:00:00 AM,-31.910000,-58.328330
Brba,5028,Eucrite-mmict,18000,Fell,01-01-1924 12:00:00 AM,11.650000,-3.650000
Berlanguillas,5029,L6,1440,Fell,01-01-1811 12:00:00 AM,41.683330,-3.800000
Berthoud,47355,Eucrite-mmict,960,Fell,01-01-2004 12:00:00 AM,40.305830,-105.023250
Beuste,5034,L5,2000,Fell,01-01-1859 12:00:00 AM,43.216670,-0.233330
Beyrout,5035,LL3.8,1100,Fell,01-01-1921 12:00:00 AM,33.883330,35.500000
Bhagur,5037,L6,18,Fell,01-01-1877 12:00:00 AM,20.883330,74.833330
Bhawad,36591,LL6,678,Fell,01-01-2002 12:00:00 AM,26.508330,73.115280
Bherai,5039,L6,100,Fell,01-01-1893 12:00:00 AM,20.833330,71.466670
Bhola,5040,LL3-6,1047,Fell,01-01-1940 12:00:00 AM,22.683330,90.650000
Bholghati,5041,Howardite,2500,Fell,01-01-1905 12:00:00 AM,22.083330,86.900000
Bialystok,5042,Eucrite-pmict,4000,Fell,01-01-1827 12:00:00 AM,53.100000,23.200000
Bielokrynitschie,5043,H4,1900,Fell,01-01-1887 12:00:00 AM,50.133330,27.166670
Bilanga,5045,Diogenite,25000,Fell,01-01-1999 12:00:00 AM,12.450000,-0.083330
Birni Nkonni,5056,H4,560,Fell,01-01-1923 12:00:00 AM,13.766670,5.300000
Bishopville,5059,Aubrite,6000,Fell,01-01-1843 12:00:00 AM,34.166670,-80.283330
Bishunpur,5060,LL3.15,1039,Fell,01-01-1895 12:00:00 AM,25.383330,82.600000
Bjelaja Zerkov,5063,H6,1850,Fell,01-01-1796 12:00:00 AM,49.783330,30.166670
Bjurble,5064,L-LL4,330000,Fell,01-01-1899 12:00:00 AM,60.400000,25.800000
